sg_uf;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;qt_votos_nom_validos
SP;Deputado Estadual;33766;LOURIVAL TORRES;PMN;PMN;1;Não eleito;7;SP;250001643307;2040602022;5
SP;Deputado Estadual;11211;CARLOS ALBERTO BOARINI;PP;PP;1;Suplente;7;SP;250001612262;2040602022;1844
SP;Deputado Estadual;20088;GIRLANE LIMA DE SOUZA;PSC;PSC;1;Suplente;7;SP;250001643791;2040602022;161
SP;Deputado Estadual;50563;ENOC MANOEL DE SANTANA;PSOL;REDE / PSOL;1;Suplente;7;SP;250001619373;2040602022;470
SP;Deputado Estadual;22058;ANDROMEDES BARBOSA OKABE;PL;PL;1;Suplente;7;SP;250001610143;2040602022;3698
SP;Deputado Estadual;27500;ODILIA CRISTINA SANTOS DO NASCIMENTO;DC;DC;1;Não eleito;7;SP;250001692519;2040602022;98
SP;Deputado Estadual;35522;THAISE CARVALHO MIRANDA;PMB;PMB;1;Não eleito;7;SP;250001642276;2040602022;194
SP;Deputado Estadual;90707;RAPHAEL DIAS FERNANDES NETO;PROS;PROS;1;Não eleito;7;SP;250001719477;2040602022;71
SP;Deputado Estadual;10990;REJAINE TEREZA DOS SANTOS MARCHESINI;REPUBLICANOS;REPUBLICANOS;1;Suplente;7;SP;250001639627;2040602022;433
SP;Deputado Estadual;80080;JOÃO GABRIEL COELHO;UP;UP;1;Não eleito;7;SP;250001727024;2040602022;68
SP;Deputado Estadual;23510;CARLOS AUGUSTO ABRANCHES;CIDADANIA;CIDADANIA / PSDB;1;Suplente;7;SP;250001611435;2040602022;39530
SP;Deputado Estadual;28628;ANTONIO DA CUNHA LIMA;PRTB;PRTB;1;Não eleito;7;SP;250001699873;2040602022;911
SP;Deputado Estadual;45150;DANIELLE SANTOS SILVA;PSDB;CIDADANIA / PSDB;1;Suplente;7;SP;250001611445;2040602022;1469
SP;Deputado Estadual;19192;ALDO FERNANDO NUNES;PODE;PODE;1;Suplente;7;SP;250001610482;2040602022;678
SP;Deputado Estadual;45219;JULIO CESAR DE OLIVEIRA;PSDB;CIDADANIA / PSDB;1;Suplente;7;SP;250001611473;2040602022;132
SP;Deputado Estadual;18016;JULIANA GORGA SALVETTI;REDE;REDE / PSOL;1;Suplente;7;SP;250001619352;2040602022;605
SP;Deputado Estadual;30444;ADALGISA SOLANGE SPINA;NOVO;NOVO;1;Suplente;7;SP;250001597755;2040602022;4986
SP;Deputado Estadual;44193;BENEDITO ROBERTO MEIRA;UNIÃO;UNIÃO;1;Suplente;7;SP;250001725833;2040602022;24324
SP;Deputado Estadual;35081;MARCOS JOSÉ DO VALLE;PMB;PMB;1;Não eleito;7;SP;250001642207;2040602022;249
SP;Deputado Estadual;70140;ANTONIO CARLOS DE CAMPOS MACHADO;AVANTE;AVANTE;1;Não eleito;7;SP;250001621735;2040602022;39393
SP;Deputado Estadual;14022;WASHINGTON JOSE DA CRUZ;PTB;PTB;1;Não eleito;7;SP;250001614919;2040602022;1565
SP;Deputado Estadual;28428;CLAUDIA CARVALHO DA ROCHA;PRTB;PRTB;1;Não eleito;7;SP;250001699834;2040602022;41
SP;Deputado Estadual;13500;ANDREIA TEIXEIRA BATISTA;PT;PT / PV / PC do B;1;Suplente;7;SP;250001611762;2040602022;5651
SP;Deputado Estadual;45151;JOSÉ BERNARDO ORTIZ MONTEIRO JÚNIOR;PSDB;CIDADANIA / PSDB;1;Suplente;7;SP;250001611495;2040602022;66914
SP;Deputado Estadual;11050;JOÃO ROBERTO DE SIQUEIRA;PP;PP;1;Suplente;7;SP;250001612294;2040602022;287
SP;Deputado Estadual;28290;LUIS HENRIQUE USAI;PRTB;PRTB;1;Não eleito;7;SP;250001699844;2040602022;3978
SP;Deputado Estadual;45180;PATRÍCIA GAMA DE QUADROS BEZERRA;PSDB;CIDADANIA / PSDB;1;Suplente;7;SP;250001611489;2040602022;22731
SP;Deputado Estadual;12124;AIRTON DA COSTA LOURENÇO;PDT;PDT;1;Suplente;7;SP;250001643612;2040602022;466
SP;Deputado Estadual;55250;JOSIAS JOSE DO NASCIMENTO;PSD;PSD;1;Suplente;7;SP;250001605031;2040602022;1365
SP;Deputado Estadual;12443;VERÔNICA EVANGELISTA DOS SANTOS;PDT;PDT;1;Suplente;7;SP;250001643657;2040602022;252
SP;Deputado Estadual;51150;ODAIR DE MOURA E SILVA;PATRIOTA;PATRIOTA;1;Não eleito;7;SP;250001621467;2040602022;15970
SP;Deputado Estadual;19001;ATAIDE TERUEL PEREZ;PODE;PODE;1;Suplente;7;SP;250001610453;2040602022;20559
SP;Deputado Estadual;30005;TAIS ALEXANDRE ZUZA CUSTÓDIO;NOVO;NOVO;1;Suplente;7;SP;250001597798;2040602022;3202
SP;Deputado Estadual;28145;ANDRESSA MAZZEI SIGNORETTI DA SILVA;PRTB;PRTB;1;Não eleito;7;SP;250001699790;2040602022;292
SP;Deputado Estadual;35500;ELIS REGINA NOGUEIRA RODRIGUES;PMB;PMB;1;Não eleito;7;SP;250001642267;2040602022;434
SP;Deputado Estadual;50555;RAMON FERNANDES FAUSTINO;PSOL;REDE / PSOL;1;Suplente;7;SP;250001619343;2040602022;2106
SP;Deputado Estadual;12312;ADOLFO BASSO;PDT;PDT;1;Suplente;7;SP;250001643610;2040602022;5097
SP;Deputado Estadual;50517;ELIEZER ALMEIDA GUIMARÃES;PSOL;REDE / PSOL;1;Suplente;7;SP;250001619321;2040602022;100
SP;Deputado Estadual;19700;CARLOS ALEXANDRE VIANNA SOARES;PODE;PODE;1;Suplente;7;SP;250001610457;2040602022;6833
SP;Deputado Estadual;50777;PAULO ROBERTO BUFALO;PSOL;REDE / PSOL;1;Suplente;7;SP;250001619367;2040602022;5826
SP;Deputado Estadual;20250;DÁRIO CASSIANO DE SOUZA;PSC;PSC;1;Suplente;7;SP;250001643786;2040602022;445
SP;Deputado Estadual;33713;MARIA LUCINDA RESENDE;PMN;PMN;1;Não eleito;7;SP;250001643268;2040602022;59
SP;Deputado Estadual;33552;JOSÉ OSÓRIO FILHO;PMN;PMN;1;Não eleito;7;SP;250001643252;2040602022;780
SP;Deputado Estadual;15150;DIEGO LOPES DEL RIO;MDB;MDB;1;Suplente;7;SP;250001609954;2040602022;22328
SP;Deputado Estadual;15158;ANDRÉA DE PAULA SANTOS;MDB;MDB;1;Suplente;7;SP;250001609979;2040602022;1346
SP;Deputado Estadual;55599;LUIS TADEO GIMENES;PSD;PSD;1;Não eleito;7;SP;250001605029;2040602022;0
SP;Deputado Estadual;50321;BRUNA CHAMAS BIONDI;PSOL;REDE / PSOL;1;Suplente;7;SP;250001619347;2040602022;8304
SP;Deputado Estadual;51233;RONALDO AUGUSTO BRETAS MARZAGÃO JUNIOR;PATRIOTA;PATRIOTA;1;Não eleito;7;SP;250001621409;2040602022;2600
SP;Deputado Estadual;35474;CASSIO EDUARDO FONSECA;PMB;PMB;1;Não eleito;7;SP;250001642234;2040602022;340
SP;Deputado Estadual;14017;PAULO CESAR DA SILVA SANT'ANA;PTB;PTB;1;Não eleito;7;SP;250001614901;2040602022;394
SP;Deputado Estadual;12050;ANTONIO FERNANDO PEREIRA;PDT;PDT;1;Suplente;7;SP;250001643651;2040602022;415
SP;Deputado Estadual;19500;KLEBER CABRAL;PODE;PODE;1;Suplente;7;SP;250001610538;2040602022;11808
SP;Deputado Estadual;10333;ALTAIR MORAES DE OLIVEIRA;REPUBLICANOS;REPUBLICANOS;1;Eleito por QP;7;SP;250001639600;2040602022;98515
SP;Deputado Estadual;45888;ADALBERTO GODOY FREITAS;PSDB;CIDADANIA / PSDB;1;Suplente;7;SP;250001611449;2040602022;8542
SP;Deputado Estadual;30010;ANDRÉ NALEPA ABBUD;NOVO;NOVO;1;Suplente;7;SP;250001597769;2040602022;1035
SP;Deputado Estadual;44550;HUMBERTO YUDI WATANABE;UNIÃO;UNIÃO;1;Suplente;7;SP;250001602175;2040602022;3066
SP;Deputado Estadual;18888;VICTOR AUGUSTO LINS MENDES;REDE;REDE / PSOL;1;Suplente;7;SP;250001619336;2040602022;7725
