sg_uf;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;qt_votos_nom_validos
SP;Deputado Federal;2939;CLENILZA PANATO;PCO;PCO;1;Não eleito;6;SP;250001700016;2040602022;177
SP;Deputado Federal;3634;JOSE CICERO DE OLIVEIRA;AGIR;AGIR;1;Não eleito;6;SP;250001717185;2040602022;225
SP;Deputado Federal;3369;FRANCISCO JOSÉ DA CRUZ FILHO;PMN;PMN;1;Não eleito;6;SP;250001613955;2040602022;202
SP;Deputado Federal;2833;VILMA MARQUES RIBEIRO;PRTB;PRTB;1;Não eleito;6;SP;250001715862;2040602022;307
SP;Deputado Federal;3376;AIRTON RODRIGUES DE OLIVEIRA;PMN;PMN;1;Não eleito;6;SP;250001613938;2040602022;53
SP;Deputado Federal;5191;RAFAEL CARLOS LABIAPARI GOMES;PATRIOTA;PATRIOTA;1;Não eleito;6;SP;250001620747;2040602022;536
SP;Deputado Federal;2727;MARIA PAULA BARROS DE OLIVEIRA;DC;DC;1;Não eleito;6;SP;250001695288;2040602022;890
SP;Deputado Federal;1900;EDUARDO JANZON AVALLONE NOGUEIRA;PODE;PODE;1;Suplente;6;SP;250001610305;2040602022;8869
SP;Deputado Federal;2901;LEANDRO PAGGIARO CORREA DE ARRUDA;PCO;PCO;1;Não eleito;6;SP;250001700013;2040602022;44
SP;Deputado Federal;4474;DEBORA ELOISA JUSTINO;UNIÃO;UNIÃO;1;Suplente;6;SP;250001602031;2040602022;4992
SP;Deputado Federal;1616;WELLER PEREIRA GONÇALVES;PSTU;PSTU;1;Não eleito;6;SP;250001611413;2040602022;1995
SP;Deputado Federal;4342;RAUL THAME DE TOLEDO ALMEIDA;PV;PT / PV / PC do B;1;Suplente;6;SP;250001610676;2040602022;655
SP;Deputado Federal;1330;JANAINA FERRATO ELIAS;PT;PT / PV / PC do B;1;Suplente;6;SP;250001610702;2040602022;4235
SP;Deputado Federal;1060;IVANILDO DOS SANTOS;REPUBLICANOS;REPUBLICANOS;1;Suplente;6;SP;250001611853;2040602022;1728
SP;Deputado Federal;7740;MARIANNE BORGES TAVELLI;SOLIDARIEDADE;SOLIDARIEDADE;1;Suplente;6;SP;250001606098;2040602022;2542
SP;Deputado Federal;3688;MARIO JOSE DE SOUZA;AGIR;AGIR;1;Não eleito;6;SP;250001717147;2040602022;329
SP;Deputado Federal;1323;PASCOALINA SOUZA SILVA;PT;PT / PV / PC do B;1;Suplente;6;SP;250001610670;2040602022;6224
SP;Deputado Federal;1045;FERNANDA DA SILVA ALVES;REPUBLICANOS;REPUBLICANOS;1;Suplente;6;SP;250001611849;2040602022;2605
SP;Deputado Federal;1155;OSWALDO MARQUES CERA FILHO;PP;PP;1;Suplente;6;SP;250001611992;2040602022;4967
SP;Deputado Federal;1988;JORGE MALULY NETO;PODE;PODE;1;Suplente;6;SP;250001610279;2040602022;8504
SP;Deputado Federal;1177;PAULA FURTADO BRUM;PP;PP;1;Suplente;6;SP;250001612020;2040602022;5886
SP;Deputado Federal;7079;EMANOEL DE CARVALHO MOURA;AVANTE;AVANTE;1;Não eleito;6;SP;250001622042;2040602022;2532
SP;Deputado Federal;3633;LILIANE NUNES DE CARVALHO DOS SANTOS;AGIR;AGIR;1;Não eleito;6;SP;250001717193;2040602022;1880
SP;Deputado Federal;7760;LUIS CLAUDIO BILI LINS DA SILVA;SOLIDARIEDADE;SOLIDARIEDADE;1;Suplente;6;SP;250001606083;2040602022;953
SP;Deputado Federal;9004;NEUSA ANTONIA PERINO;PROS;PROS;1;Não eleito;6;SP;250001677905;2040602022;417
SP;Deputado Federal;7712;EDILAINE DANIEL CARVALHO;SOLIDARIEDADE;SOLIDARIEDADE;1;Suplente;6;SP;250001606101;2040602022;7775
SP;Deputado Federal;2251;ADILSON BARROSO OLIVEIRA;PL;PL;1;Suplente;6;SP;250001611352;2040602022;62445
SP;Deputado Federal;4006;ALEXSANDRA RIBEIRO RODRIGUES DA SILVA;PSB;PSB;1;Suplente;6;SP;250001651390;2040602022;774
SP;Deputado Federal;3650;ALLAN SERGIO NASCIMENTO;AGIR;AGIR;1;Não eleito;6;SP;250001717173;2040602022;187
SP;Deputado Federal;4467;RODRIGO ADRIANO DA SILVA;UNIÃO;UNIÃO;1;Suplente;6;SP;250001727938;2040602022;616
SP;Deputado Federal;2866;JANAÍNA VALÉRIA BUCKER RIEDO;PRTB;PRTB;1;Não eleito;6;SP;250001715900;2040602022;101
SP;Deputado Federal;1558;APARECIDO SARAIVA DA ROCHA;MDB;MDB;1;Suplente;6;SP;250001611276;2040602022;23067
SP;Deputado Federal;3000;ALEXIS JOSEPH STEVERLYNCK FONTEYNE;NOVO;NOVO;1;Suplente;6;SP;250001597674;2040602022;20963
SP;Deputado Federal;7790;MAURICIO CHINAGLIA;SOLIDARIEDADE;SOLIDARIEDADE;1;Suplente;6;SP;250001606081;2040602022;540
SP;Deputado Federal;1920;DANIEL JOSÉ DA SILVA OLIVEIRA;PODE;PODE;1;Suplente;6;SP;250001610302;2040602022;38090
SP;Deputado Federal;1560;JANAINA CARLA DE LIMA PASCALICHIO;MDB;MDB;1;Suplente;6;SP;250001611278;2040602022;10355
SP;Deputado Federal;4580;SAMUEL MOREIRA DA SILVA JUNIOR;PSDB;CIDADANIA / PSDB;1;Suplente;6;SP;250001612140;2040602022;79633
