"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"MARA LUCIA GARCIA";"MARA GARCIA";"Deputado Federal";2832;"PRTB";"PRTB";"Indeferido com recurso ou em prazo recursal";"Não eleito"
"MARAISA PINHEIRO TANNURE";"MARAISA TANNURE";"Deputado Federal";9035;"PROS";"PROS";"Indeferido";"Concorrendo"
"FERNANDO JOSE DE SOUZA MARANGONI";"MARANGONI";"Deputado Federal";4440;"UNIÃO";"UNIÃO";"Deferido";"Eleito por média"
"MARCOS VINICIUS LUZ GIANNONI";"MARCÃO DA EMA";"Deputado Federal";3503;"PMB";"PMB";"Deferido";"Não eleito"
"MARCOS ROBERTO DOS SANTOS";"MARCÃO DO POVO";"Deputado Federal";1446;"PTB";"PTB";"Deferido";"Não eleito"
"MARCEL BRASIL DE SOUZA MOURA";"MARCEL BRASIL";"Deputado Federal";2737;"DC";"DC";"Deferido";"Não eleito"
"MARCELA DE CARVALHO NORA";"MARCELA NORÁ VETERINÁRIA";"Deputado Federal";4401;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"MARCELO DA SILVA";"MARCELÃO DO POVO";"Deputado Federal";1566;"MDB";"MDB";"Deferido";"Suplente"
"MARCELO MARQUES DE SOUZA";"MARCELINHO";"Deputado Federal";1105;"PP";"PP";"Deferido";"Suplente"
"MARCELLO LEONARDI BEZERRA";"MÀRCELLO BEZERRA";"Deputado Federal";4007;"PSB";"PSB";"Deferido";"Suplente"
"MARCELLO FERREIRA DOS SANTOS";"MARCELLO PABLITO";"Deputado Federal";1655;"PSTU";"PSTU";"Deferido";"Não eleito"
"MARCELO PORFIRIO DA SILVA";"MARCELO BRÁS DO SACOLÃO";"Deputado Federal";4522;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"MARCELO APARECIDO DA SILVA";"MARCELO DESPACHANTE";"Deputado Federal";1096;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"MARCELO HERCOLIN";"MARCELO HERCOLIN";"Deputado Federal";4450;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"MARCELO GERALDO DA SILVA";"MARCELO KING";"Deputado Federal";2073;"PSC";"PSC";"Deferido";"Suplente"
"MARCELO DE LIMA FERNANDES";"MARCELO LIMA";"Deputado Federal";7780;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Eleito por QP"
"MARCELO FABIÁN MERCAU FILHO";"MARCELO MERCAU";"Deputado Federal";9080;"PROS";"PROS";"Deferido";"Suplente"
"MARCELO JOSÉ ORTEGA";"MARCELO ORTEGA";"Deputado Federal";1990;"PODE";"PODE";"Deferido";"Suplente"
"MARCELO RODRIGUES JUNIOR";"MARCELO RODRIGUES";"Deputado Federal";5118;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"MARCELO ROSSI DOS SANTOS";"MARCELO ROSSI";"Deputado Federal";1468;"PTB";"PTB";"Deferido";"Não eleito"
"MARCELO CESAR TORRES RUBI";"MARCELO RUBI";"Deputado Federal";2851;"PRTB";"PRTB";"Deferido";"Não eleito"
"MARCIA HELENA BARROS BENEDITO";"MARCIA";"Deputado Federal";2745;"DC";"DC";"Deferido";"Não eleito"
"MARCIA BUENO DA SILVA";"MARCIA BUENO";"Deputado Federal";1457;"PTB";"PTB";"Deferido";"Não eleito"
"MARCIA REGINA ALVES GONCALVES";"MARCIA PARA";"Deputado Federal";1427;"PTB";"PTB";"Deferido";"Não eleito"
"MÁRCIA REBESCHINI PATELLA DA SILVA";"MÁRCIA REBESCHINI";"Deputado Federal";4377;"PV";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"MÁRCIA ROCHA";"MÁRCIA ROCHA";"Deputado Federal";2324;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"MARCIA VALERIA MARQUES LOPES SAQUETO";"MARCIA VALERIA";"Deputado Federal";5167;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"ANTONIO CARLOS MARCIANO";"MARCIANO";"Deputado Federal";9001;"PROS";"PROS";"Deferido";"Suplente"
"MARCILIO DUARTE LIMA";"MARCILIO DUARTE";"Deputado Federal";1447;"PTB";"PTB";"Deferido";"Não eleito"
"MÁRCIO LEANDRO CENTENORIO";"MARCINHO BUCHECHA";"Deputado Federal";5017;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"MARCIO GONÇALVES MACIEL";"MARCINHO DA ACIU";"Deputado Federal";1552;"MDB";"MDB";"Deferido";"Suplente"
"MARCIO LUIZ ALVINO DE SOUZA";"MARCIO ALVINO";"Deputado Federal";2299;"PL";"PL";"Deferido";"Eleito por QP"
"MARCIO CECCHETTINI";"MARCIO CECCHETTINI";"Deputado Federal";4519;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Renúncia";"Concorrendo"
"MARCIO ROBERTO GARCIA LARRANHAGA";"MARCIO LARRANHAGA";"Deputado Federal";2024;"PSC";"PSC";"Deferido";"Suplente"
"MARCIO RODRIGUES";"MARCIO RODRIGUES";"Deputado Federal";1970;"PODE";"PODE";"Deferido";"Suplente"
"MARCIONILIO CAMARGO DOS SANTOS";"MARCIONILIO CAMARGO";"Deputado Federal";2836;"PRTB";"PRTB";"Deferido";"Não eleito"
"MARCO ANTONIO DE SOUZA PINTO";"MARCO ANTONIO PINTO";"Deputado Federal";3021;"NOVO";"NOVO";"Deferido";"Suplente"
"MARCO AURELIO BERTAIOLLI";"MARCO BERTAIOLLI";"Deputado Federal";5500;"PSD";"PSD";"Deferido";"Eleito por QP"
"MARCO ANTONIO BATISTA";"MARCO DIPRETO";"Deputado Federal";1855;"REDE";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
