"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"LUIZ CARLOS MOTTA";"MOTTA";"Deputado Federal";2244;"PL";"PL";"Deferido";"Eleito por QP"
"MUNIR WAHHAB";"MUNIR WAHHAB";"Deputado Federal";1420;"PTB";"PTB";"Deferido";"Não eleito"
"RICARDO MURILO COGHI";"MURILO COGHI";"Deputado Federal";4409;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"LINDINALVA DO CARMO LIMA";"NALVA LIMA";"Deputado Federal";1236;"PDT";"PDT";"Deferido";"Não eleito"
"FERNANDO PINHEIRO";"NANDO PINHEIRO";"Deputado Federal";2223;"PL";"PL";"Deferido";"Suplente"
"INES NANY RODRIGUES DA SILVA";"NANY";"Deputado Federal";4443;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"GREICE NAOMI YAMAGUCHI";"NAOMI YAMAGUCHI";"Deputado Federal";9021;"PROS";"PROS";"Deferido";"Suplente"
"NATÁLIA ROBERTA MASSI SOLERA";"NATÁLIA MASSI";"Deputado Federal";7072;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"NATANAEL RODRIGUES DE PAULA";"NATANAEL DE PAULO";"Deputado Federal";3670;"AGIR";"AGIR";"Deferido";"Não eleito"
"ROSNAY LUCAS BERNARDES";"NAY BERNARDES";"Deputado Federal";9039;"PROS";"PROS";"Deferido";"Suplente"
"NAZARÉ BATISTA BRAGA";"NAZARÉ BRAGA";"Deputado Federal";4078;"PSB";"PSB";"Deferido";"Suplente"
"NEFI ANTONIO CASTRO TALES";"NEFI TALES FILHO";"Deputado Federal";1434;"PTB";"PTB";"Deferido";"Não eleito"
"ELISANGELA VIEIRA FERREIRA";"NEGA";"Deputado Federal";5104;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"JACKSON HENRIQUE DE SOUZA";"NEGO JACKSON";"Deputado Federal";5147;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"SIVONEI DOS SANTOS CORREIA";"NEI CORREIA";"Deputado Federal";3301;"PMN";"PMN";"Indeferido";"Não eleito"
"LUCINEIA FERREIRA SANTOS COSTA";"NEIA COSTA";"Deputado Federal";1209;"PDT";"PDT";"Deferido";"Não eleito"
"SIONEIA APARECIDA DE MELLO";"NEIA MELLO";"Deputado Federal";3660;"AGIR";"AGIR";"Deferido";"Não eleito"
"LUSINEIDE NEVES BARRETO";"NEIDOCA DE HELIÓPOLIS";"Deputado Federal";4416;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"NEMIAS DA SILVA MOREIRA";"NEMIAS MOREIRA";"Deputado Federal";3512;"PMB";"PMB";"Deferido";"Não eleito"
"OSWALDO MARQUES CERA FILHO";"NENE CERA";"Deputado Federal";1155;"PP";"PP";"Deferido";"Suplente"
"MARIA DAS GRAÇAS PATRÍCIO";"NENÊ NOIVAS";"Deputado Federal";2036;"PSC";"PSC";"Deferido";"Suplente"
"NERIA LUCIO BUZATTO";"NÉRIA BUZATTO";"Deputado Federal";4442;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"IRINEU APARECIDO ORTOLANI";"NEU";"Deputado Federal";9020;"PROS";"PROS";"Deferido";"Suplente"
"NEUSA ANTONIA PERINO";"NEUSINHA PERINO";"Deputado Federal";9004;"PROS";"PROS";"Deferido";"Suplente"
"NEZIO ANTONIO MONTEIRO FILHO";"NEZIO MONTEIRO";"Deputado Federal";9000;"PROS";"PROS";"Renúncia";"Concorrendo"
"NILSON BONOME";"NILSON BONOME";"Deputado Federal";4452;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"NILSON ULLRICH";"NILSON DA CHURRASCARIA";"Deputado Federal";2078;"PSC";"PSC";"Deferido";"Suplente"
"NILTO IGNÁCIO TATTO";"NILTO TATTO";"Deputado Federal";1353;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Eleito por QP"
"NILZA MARIA DE JESUS NOGUEIRA";"NILZA NOGUEIRA";"Deputado Federal";9046;"PROS";"PROS";"Indeferido com recurso ou em prazo recursal";"Não eleito"
"ORLANDO MENGATTI FILHO";"NINO MENGATTI";"Deputado Federal";4048;"PSB";"PSB";"Deferido";"Suplente"
"NOILTON SILVESTRE RAMOS";"NOILTON RAMOS";"Deputado Federal";5130;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"NORMA ELIZA HIROKO OTANI MORATO";"NORMA OTANI";"Deputado Federal";7001;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"NORMANDO COSTA DE ANDRADE FILHO";"NORMANDY PANTERA NEGRA";"Deputado Federal";4043;"PSB";"PSB";"Deferido";"Suplente"
"ADEMIR CREPALDI";"O ATALAIA";"Deputado Federal";2807;"PRTB";"PRTB";"Deferido";"Não eleito"
"WALTER JOSÉ DOS SANTOS";"O WARTÃO";"Deputado Federal";4025;"PSB";"PSB";"Deferido";"Suplente"
"ODECIO BRAGA DE LOUREDO FILHO";"ODÉCIO BRAGA";"Deputado Federal";4449;"UNIÃO";"UNIÃO";"Renúncia";"Concorrendo"
"ODILIA EXPEDITA DE SOUSA";"ODILIA SOUSA";"Deputado Federal";2016;"PSC";"PSC";"Deferido";"Suplente"
"ODILON VIANA DA SILVA";"ODILON VIANA";"Deputado Federal";2712;"DC";"DC";"Indeferido";"Concorrendo"
"GONZAGA MENDES DE OLIVEIRA";"OLIVEIRA";"Deputado Federal";3640;"AGIR";"AGIR";"Deferido";"Não eleito"
"ORLANDO GALATI";"ORLANDO GALATI";"Deputado Federal";1488;"PTB";"PTB";"Deferido";"Não eleito"
"ORLANDO JOSE LIMA MOREIRA";"ORLANDO MOREIRA";"Deputado Federal";2093;"PSC";"PSC";"Renúncia";"Concorrendo"
"ORLANDO SILVA DE JESUS JUNIOR";"ORLANDO SILVA";"Deputado Federal";6565;"PC do B";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"ORLANDO VITORIANO DE OLIVEIRA";"ORLANDO VITORIANO";"Deputado Federal";1312;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"OSMAR DELLA PASCHOA JUNIOR";"OSMAR DELLA PASCHOA";"Deputado Federal";3550;"PMB";"PMB";"Deferido";"Não eleito"
"PABLO HENRIQUE COSTA MARÇAL";"PABLO MARÇAL";"Deputado Federal";9000;"PROS";"PROS";"Deferido com recurso ou em prazo recursal";"Eleito por média"
"JOSÉ AFONSO LOBATO";"PADRE AFONSO LOBATO";"Deputado Federal";1951;"PODE";"PODE";"Deferido";"Suplente"
"AIRTON DOS SANTOS";"PAI AIRTON";"Deputado Federal";1128;"PP";"PP";"Deferido";"Suplente"
"JOSÉ ANTONIO FERNANDES PAIVA";"PAIVA";"Deputado Federal";7734;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"SEBASTIAO FARIAS PAIVA";"PAIVA FARIAS";"Deputado Federal";1202;"PDT";"PDT";"Deferido";"Não eleito"
"MARCELO ROBERTO PAOLILLO MARTINS";"PAOLILLO";"Deputado Federal";9028;"PROS";"PROS";"Deferido";"Suplente"
"PASCOAL SOUZA SILVA";"PASCOAL SOUZA SILVA";"Deputado Federal";1169;"PP";"PP";"Indeferido com recurso ou em prazo recursal";"Não eleito"
"ABRAÃO GONÇALVES";"PASTOR ABRAAO";"Deputado Federal";2803;"PRTB";"PRTB";"Renúncia";"Concorrendo"
"AMARO MACHADO SOARES NETO";"PASTOR AMARO";"Deputado Federal";3357;"PMN";"PMN";"Deferido";"Não eleito"
"ANTÔNIO JOSÉ GERALDO";"PASTOR GERALDO";"Deputado Federal";2011;"PSC";"PSC";"Deferido";"Suplente"
"JOAQUIM TOMAZ DOS SANTOS";"PASTOR JOAQUIM O CAMINHONEIRO";"Deputado Federal";2006;"PSC";"PSC";"Deferido";"Suplente"
"JOSE RIBEIRO DE MELO";"PASTOR JOSÉ RIBEIRO";"Deputado Federal";9067;"PROS";"PROS";"Deferido";"Suplente"
"MARCEL DE JESUS GARCIA";"PASTOR MARCEL";"Deputado Federal";1523;"MDB";"MDB";"Deferido";"Suplente"
"MARCELO CANDIDO LOPES SIMÕES";"PASTOR MARCELO CANDIDO";"Deputado Federal";2077;"PSC";"PSC";"Deferido";"Suplente"
"MARCO ANTONIO FELICIANO";"PASTOR MARCO FELICIANO";"Deputado Federal";2270;"PL";"PL";"Deferido";"Eleito por QP"
"PAULO MARCIO LIMA DE OLIVEIRA";"PASTOR PAULO LIMA";"Deputado Federal";1504;"MDB";"MDB";"Deferido";"Suplente"
"PAULO MARCELO SCHALLENBERGER";"PASTOR PAULO MARCELO";"Deputado Federal";7713;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"RICARDO LIMA BRAGA SANTISTEVAN";"PASTOR RICARDO BRAGA";"Deputado Federal";1939;"PODE";"PODE";"Deferido";"Suplente"
"RICARDO DA SILVA SAIBRO";"PASTOR RICARDO SAIBRO";"Deputado Federal";4471;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"ROBSON LIMA DE OLIVEIRA";"PASTOR ROBSON OLIVEIRA";"Deputado Federal";2057;"PSC";"PSC";"Deferido";"Suplente"
"RONALDO RESENDE DA SILVA";"PASTOR RONALDO RESENDE";"Deputado Federal";7031;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"ANA SILVIA GOES DE SOUZA";"PASTORA ANA";"Deputado Federal";2272;"PL";"PL";"Deferido";"Suplente"
"MARIA APARECIDA DE SOUZA MARQUES";"PASTORA CIDA TUTIA";"Deputado Federal";3312;"PMN";"PMN";"Deferido";"Não eleito"
"DAGMAR PEREIRA DE SOUZA MOITINHO DE LIMA CRUZ";"PASTORA DAGMAR";"Deputado Federal";3674;"AGIR";"AGIR";"Deferido";"Não eleito"
"PATRICIA SANT'ANA BORGES";"PATRICIA BORGES";"Deputado Federal";2201;"PL";"PL";"Deferido";"Suplente"
"PATRÍCIA MARIA DA SILVA";"PATRÍCIA DE SANTOS";"Deputado Federal";5135;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"PATRÍCIA MORA D'AVILA";"PATRÍCIA MORA";"Deputado Federal";3328;"PMN";"PMN";"Deferido";"Não eleito"
"PATRÍCIA SIMÕES VEDRANO";"PATRICIA VEDRANO";"Deputado Federal";4310;"PV";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"PATRICIA SILVA ZANELLA";"PATRICIA ZANELLA";"Deputado Federal";1822;"REDE";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"MARIA PAULA BARROS DE OLIVEIRA";"PAULA BARROS";"Deputado Federal";2727;"DC";"DC";"Deferido";"Não eleito"
"PAULA FURTADO BRUM";"PAULA BRUM";"Deputado Federal";1177;"PP";"PP";"Deferido";"Suplente"
"ANA PAULA TOSIN";"PAULA TOSIN";"Deputado Federal";2079;"PSC";"PSC";"Deferido";"Suplente"
"PAULO APARECIDO SILVA CAYRES";"PAULÃO CAYRES";"Deputado Federal";1365;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"ANA PAULA JOSÉ EMÍDIO DA SILVA";"PAULINHA DA SAÚDE";"Deputado Federal";2014;"PSC";"PSC";"Deferido";"Suplente"
"PAULO PEREIRA DA SILVA";"PAULINHO DA FORÇA";"Deputado Federal";7777;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"PAULO SERGIO SOARES DA SILVA";"PAULINHO DO MERCADO";"Deputado Federal";4405;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"PAULO EDUARDO BRAZILINO";"PAULINHO DO NOVO";"Deputado Federal";3026;"NOVO";"NOVO";"Deferido";"Suplente"
"PAULO ROBERTO AMARAL VIEIRA";"PAULLO VIEIRA";"Deputado Federal";1985;"PODE";"PODE";"Deferido";"Suplente"
"PAULO ROBERTO DE ABREU";"PAULO ABREU";"Deputado Federal";3344;"PMN";"PMN";"Deferido";"Não eleito"
"PAULO ALEXANDRE PEREIRA BARBOSA";"PAULO ALEXANDRE BARBOSA";"Deputado Federal";4533;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Eleito por QP"
"PAULO ATAÍDE ARAÚJO DE SOUSA";"PAULO ATAÍDE O RASTA";"Deputado Federal";3320;"PMN";"PMN";"Deferido";"Não eleito"
"PAULO BEZERRA DE MELO";"PAULO BEZERRA";"Deputado Federal";2969;"PCO";"PCO";"Deferido";"Não eleito"
"PAULO ROBERTO DE CAMPOS";"PAULO CAMPOS";"Deputado Federal";1922;"PODE";"PODE";"Deferido";"Suplente"
"PAULO CEZAR DA SILVA MOURA";"PAULO CEZAR ADVOGADO";"Deputado Federal";7076;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"PAULO EDUARDO DE PAULA";"PAULO EDUARDO";"Deputado Federal";3664;"AGIR";"AGIR";"Deferido";"Não eleito"
"PAULO ROBERTO FREIRE DA COSTA";"PAULO FREIRE DA COSTA";"Deputado Federal";2233;"PL";"PL";"Deferido";"Eleito por QP"
"PAULO GUILHERMINO DE ARAUJO";"PAULO GUILHERMINO";"Deputado Federal";3588;"PMB";"PMB";"Deferido";"Não eleito"
"PAULO FRANCISCO PERES LUCAS";"PAULO LUCCAS";"Deputado Federal";2066;"PSC";"PSC";"Renúncia";"Não eleito"
"PAULO PROIETI";"PAULO PROIETI";"Deputado Federal";3037;"NOVO";"NOVO";"Deferido";"Suplente"
"PAULO ROMEIRO DE ALMEIDA SOARES";"PAULO SOARES JORNALISTA";"Deputado Federal";1915;"PODE";"PODE";"Deferido";"Suplente"
"LUIZ PAULO TEIXEIRA FERREIRA";"PAULO TEIXEIRA";"Deputado Federal";1398;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"PEDRO MAURÍCIO PEREIRA";"PEDRINHO DO GÁS";"Deputado Federal";1213;"PDT";"PDT";"Deferido";"Não eleito"
"PEDRO AUGUSTO LIA TEDDE";"PEDRO TEDDE";"Deputado Federal";3060;"NOVO";"NOVO";"Deferido";"Suplente"
"PEDRO TOURINHO DE SIQUEIRA";"PEDRO TOURINHO";"Deputado Federal";1319;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"PEDRO TADEU BATISTA";"PEDRO VADER";"Deputado Federal";5543;"PSD";"PSD";"Deferido";"Suplente"
"PEDRO LUIS VAZ DE LIMA MATTOS";"PEDRO VAZ DE LIMA";"Deputado Federal";3045;"NOVO";"NOVO";"Deferido";"Suplente"
"JORGE LUIS LEPINSK";"PEPO LEPINSK";"Deputado Federal";1577;"MDB";"MDB";"Indeferido";"Não eleito"
"JOSÉ ADILSON PEREIRA DOS SANTOS";"PEREIRINHA JOSÉ ADILSON";"Deputado Federal";2090;"PSC";"PSC";"Deferido";"Suplente"
"CLAUDIO PERESSIM";"PERESSIM";"Deputado Federal";5156;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"JOSÉ RIBAMAR PIAUILINO DE SOUSA";"PIAUILINO";"Deputado Federal";4355;"PV";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"DIENES PEREIRA DE SOUZA";"PIERO";"Deputado Federal";2811;"PRTB";"PRTB";"Deferido";"Não eleito"
"PIERPAOLO PAGANO";"PIO PAGANO";"Deputado Federal";1027;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"CRISTIANE IGNACIO ISIDORO BRAZ";"POLICIAL CRISTIANE";"Deputado Federal";2228;"PL";"PL";"Deferido";"Suplente"
"EDJANE LIMA DE AZEVEDO";"POLICIAL EDJANE";"Deputado Federal";9090;"PROS";"PROS";"Deferido";"Suplente"
"KATIA DA SILVA SASTRE";"POLICIAL KATIA SASTRE";"Deputado Federal";2240;"PL";"PL";"Deferido";"Suplente"
"RENATO ARAUJO DA CRUZ";"POLICIAL PENAL RENATO CRUZ";"Deputado Federal";7710;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"POLLYANA FATIMA GAMA SANTOS";"POLLYANA GAMA";"Deputado Federal";2351;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"JOSE EDSON DE ARAUJO JUNIOR";"POP";"Deputado Federal";2086;"PSC";"PSC";"Deferido";"Suplente"
"JOSÉ EDMILSON FERREIRA DOS SANTOS";"PR EDMILSON SANTOS";"Deputado Federal";7005;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"EMERSON APARECIDO DOS SANTOS";"PR EMERSON SANTOS";"Deputado Federal";1017;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"NIVALDO DOS SANTOS";"PR NIVALDO DA PEDALADA";"Deputado Federal";1089;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"PAULO PRADO LEITE";"PR. PAULINHO ALELUIA";"Deputado Federal";2083;"PSC";"PSC";"Deferido";"Suplente"
"CLAUDIA NERYS DE OLIVEIRA";"PRA. CLÁUDIA NERYS";"Deputado Federal";2046;"PSC";"PSC";"Deferido";"Suplente"
"ROSENILDA APARECIDA DA SILVA CRUZ";"PRETA";"Deputado Federal";4003;"PSB";"PSB";"Deferido";"Suplente"
"OSMAR BENEDITO PRIANTE";"PRIANTE";"Deputado Federal";1455;"PTB";"PTB";"Deferido";"Não eleito"
"DOUGLAS VIEIRA PRIMO";"PRIMO MAIS NOVO";"Deputado Federal";3074;"NOVO";"NOVO";"Deferido";"Suplente"
"PRISCILA FERNANDES HOLANDA";"PRISCILA HOLANDA";"Deputado Federal";2810;"PRTB";"PRTB";"Deferido";"Não eleito"
"PRISCILA SILVA SOUZA";"PRISCILA SOUZA-MAND COLETIVO";"Deputado Federal";1906;"PODE";"PODE";"Deferido";"Suplente"
"PRISCILLA ROBERTA GASPAR DE OLIVEIRA";"PRISCILLA GASPAR";"Deputado Federal";2005;"PSC";"PSC";"Deferido";"Suplente"
"ANA LUIZA HATIKIAN NEGRAO PASSOS";"PROF ANA NEGRÃO";"Deputado Federal";3044;"NOVO";"NOVO";"Deferido";"Suplente"
"MARIA CONCEIÇÃO DE OLIVEIRA SOUZA BARCELETE";"PROF CONCEIÇÃO";"Deputado Federal";7095;"AVANTE";"AVANTE";"Renúncia";"Concorrendo"
"ODAIR JOSÉ DE JESUS";"PROF DE JIU JTSU ODAIR JESUS";"Deputado Federal";7073;"AVANTE";"AVANTE";"Renúncia";"Concorrendo"
"FÁTIMA MAGALHÃES DE OLIVEIRA";"PROF FÁTIMA MAGALHÃES";"Deputado Federal";7035;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"JACQUELINE MOREIRA DOS SANTOS ALMEIDA";"PROF JACQUELINE PRÔJACQUE";"Deputado Federal";7028;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"JOSÉ LUIZ SILVEIRA FILHO";"PROF JOSÉ LUIZ SILVEIRA";"Deputado Federal";2037;"PSC";"PSC";"Deferido";"Suplente"
"PAULA APARECIDA CARVALHO";"PROF PAULA APARECIDA";"Deputado Federal";5099;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"RENATO BESCHIZZA VALENTIN";"PROF RENATO";"Deputado Federal";2122;"PCB";"PCB";"Deferido";"Não eleito"
"RODNEY VICENTE DE SOUZA";"PROF RODNEY VICENTE";"Deputado Federal";1531;"MDB";"MDB";"Deferido";"Suplente"
"WAGNER BARBOSA";"PROF WAGNER BARBOSA";"Deputado Federal";7060;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"WALTER VICIONI GONÇALVES";"PROF WALTER VICIONI";"Deputado Federal";1510;"MDB";"MDB";"Deferido";"Suplente"
"REYNALDO CAMPANATTI PEREIRA";"PROF. CAMPANATTI";"Deputado Federal";3622;"AGIR";"AGIR";"Deferido";"Não eleito"
"JANDIRA DE MENEZES CREPALDI";"PROF. JANDIRA";"Deputado Federal";4475;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"MARCO ANTONIO VILLA";"PROF. MARCO ANTONIO VILLA";"Deputado Federal";2300;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"PAULO RAMOS BORGES PINTO VIOLARO";"PROF. PAULO BORGES (VIOLARO)";"Deputado Federal";3075;"NOVO";"NOVO";"Deferido";"Suplente"
"JOSE DOMINGOS RIZZO";"PROF. RIZZO";"Deputado Federal";7785;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"ROMULO APARECIDO SENNA DE SOUZA";"PROF. ROMULO SENNA";"Deputado Federal";3667;"AGIR";"AGIR";"Deferido";"Não eleito"
"SANDERSON RIBEIRO CORREIA DE LIMA";"PROF. SANDERSON RIBEIRO";"Deputado Federal";2814;"PRTB";"PRTB";"Deferido";"Não eleito"
"LUCIANE SANDRA CAMBUIM";"PROFª LUCIANE CAMBUIM";"Deputado Federal";3624;"AGIR";"AGIR";"Deferido";"Não eleito"
"ADELINO FRANCISCO DE OLIVEIRA";"PROFESSOR ADELINO";"Deputado Federal";1315;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"JOSE ANDRE FERNANDES";"PROFESSOR ANDRÉ";"Deputado Federal";3098;"NOVO";"NOVO";"Deferido";"Suplente"
"ARMANDO BEGA";"PROFESSOR BEGA";"Deputado Federal";2245;"PL";"PL";"Deferido";"Suplente"
"CLEITON FREITAS DE ARAUJO";"PROFESSOR CLEITON";"Deputado Federal";4005;"PSB";"PSB";"Deferido";"Suplente"
"DEIVERSON DIEGO AMARANTE";"PROFESSOR DEIVERSON AMARANTE";"Deputado Federal";9013;"PROS";"PROS";"Indeferido";"Não eleito"
"DOUGLAS MARTINS IZZO";"PROFESSOR DOUGLAS IZZO";"Deputado Federal";1308;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"EDEVALDO DONIZETTI DE CAMPOS";"PROFESSOR EDEVALDO";"Deputado Federal";1807;"REDE";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"FERNANDO ANTONIO MARCELO";"PROFESSOR FERNANDO";"Deputado Federal";7770;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"HENI OZI CUKIER";"PROFESSOR HOC, HENI OZI CUKIER";"Deputado Federal";1911;"PODE";"PODE";"Deferido";"Suplente"
"JEFFERSON RIPI DA SILVA";"PROFESSOR JEFFERSON RIPI";"Deputado Federal";9049;"PROS";"PROS";"Deferido";"Suplente"
"JUVENAL DE AGUIAR PENTEADO NETO";"PROFESSOR JUVENAL";"Deputado Federal";1347;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"LEONARDO ALEX DOS SANTOS";"PROFESSOR LEONARDO ALEX";"Deputado Federal";1135;"PP";"PP";"Deferido";"Suplente"
"LUCIANO DA SILVA";"PROFESSOR LUCIANO SILVA";"Deputado Federal";1909;"PODE";"PODE";"Deferido";"Suplente"
"LUZIMAR RODRIGUES DA SILVA";"PROFESSOR LUZIMAR";"Deputado Federal";4041;"PSB";"PSB";"Deferido";"Suplente"
"MARCOS APARECIDO VARGAS";"PROFESSOR MARCOS VARGAS";"Deputado Federal";1178;"PP";"PP";"Deferido";"Suplente"
"OSVALDO MACEDO NEGRÃO";"PROFESSOR OSVALDO";"Deputado Federal";1452;"PTB";"PTB";"Deferido";"Não eleito"
"REINALDO FRANCO DE SOUZA";"PROFESSOR REINALDO";"Deputado Federal";1332;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"RICARDO URIZZI CARVALHO";"PROFESSOR RICARDO CARVALHO";"Deputado Federal";5090;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"ROBERTO DE PAULA SOUZA";"PROFESSOR ROBERTO DE PAULA";"Deputado Federal";3638;"AGIR";"AGIR";"Indeferido com recurso ou em prazo recursal";"Não eleito"
"RONAN ALOISIO GOULART";"PROFESSOR RONAN GOULART";"Deputado Federal";7744;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"SILVIO NIVALDO";"PROFESSOR SILVIO NIVALDO";"Deputado Federal";7017;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"TIAGO DOS SANTOS LIRA";"PROFESSOR TIAGO LIRA";"Deputado Federal";5131;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"ANA ALICE FERNANDES DE ALMEIDA";"PROFESSORA ANA ALICE";"Deputado Federal";1918;"PODE";"PODE";"Deferido";"Suplente"
"ELIANA BERTA FERNANDES CORRAL";"PROFESSORA BERTA";"Deputado Federal";2279;"PL";"PL";"Deferido";"Suplente"
"CATIA NUNES DE ABREU";"PROFESSORA CATIA ABREU";"Deputado Federal";2262;"PL";"PL";"Deferido";"Suplente"
"DAISE MARIA PEREIRA SILVA";"PROFESSORA DAISE";"Deputado Federal";1424;"PTB";"PTB";"Deferido";"Não eleito"
"GABRIELA GUERRERO ARIONE";"PROFESSORA GRABRIELA";"Deputado Federal";1602;"PSTU";"PSTU";"Deferido";"Não eleito"
"KÁTIA SILVA DE OLIVEIRA";"PROFESSORA KÁTIA OLIVEIRA";"Deputado Federal";1385;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"EDILAINE DANIEL CARVALHO";"PROFESSORA LAINE DANIEL";"Deputado Federal";7712;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"MARIA CÉLIA RODRIGUES PACHECO";"PROFESSORA MARIA CÉLIA";"Deputado Federal";1901;"PODE";"PODE";"Deferido";"Suplente"
"NOEMI MACHADO DE ALMEIDA";"PROFESSORA NOEMI MACHADO";"Deputado Federal";9073;"PROS";"PROS";"Indeferido";"Concorrendo"
"PAULA DANIELA DE JESUS";"PROFESSORA PAULA";"Deputado Federal";5164;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"MARIA RACHEL OLIVEIRA BONFIM";"PROFESSORA RACHEL";"Deputado Federal";9008;"PROS";"PROS";"Deferido";"Suplente"
"SUELY APARECIDA ANTONIO";"PROFESSORA SULA";"Deputado Federal";1548;"MDB";"MDB";"Deferido";"Suplente"
"TEREZINHA MARIA DOS SANTOS";"PROFESSORA TEREZA";"Deputado Federal";4042;"PSB";"PSB";"Deferido";"Suplente"
"VERA LUCIA GOMES FERREIRA PALMEZANO";"PROFESSORA VERA";"Deputado Federal";4578;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"MARCOS ANTONIO LELIS MOREIRA";"PROMOTOR MARCOS LELIS";"Deputado Federal";7004;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"RAFAEL ANGELO ABUD";"RAFAEL ABUD";"Deputado Federal";5149;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"RAFAEL DOS ANJOS SILVA";"RAFAEL DOS ANJOS";"Deputado Federal";3047;"NOVO";"NOVO";"Deferido";"Suplente"
"RAFAEL CARLOS LABIAPARI GOMES";"RAFAEL LABIAPARI";"Deputado Federal";5191;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"RAFAEL ANTONIO DE SOUZA";"RAFAEL PUTOVISKY";"Deputado Federal";1299;"PDT";"PDT";"Deferido";"Não eleito"
"RAFAEL ALMEIDA PRADO VALENTIM";"RAFAEL VALENTIM";"Deputado Federal";1403;"PTB";"PTB";"Deferido";"Não eleito"
